Accession	Description	markers	tagm.mcmc.allocation	tagm.mcmc.probability	tagm.mcmc.probability.lowerquantile	tagm.mcmc.probability.upperquantile	tagm.mcmc.mean.shannon	tagm.mcmc.outlier	tagm.mcmc.loc.prob	tagm.mcmc.allocation.pred	tagm.mcmc.joint.19S proteasome	tagm.mcmc.joint.20S proteasome	tagm.mcmc.joint.40S ribosome	tagm.mcmc.joint.60S ribosome	tagm.mcmc.joint.apical 1	tagm.mcmc.joint.apical 2	tagm.mcmc.joint.apicoplast	tagm.mcmc.joint.cytosol	tagm.mcmc.joint.dense granules	tagm.mcmc.joint.endomembrane vesicles	tagm.mcmc.joint.ER 1	tagm.mcmc.joint.ER 2	tagm.mcmc.joint.Golgi	tagm.mcmc.joint.IMC	tagm.mcmc.joint.micronemes	tagm.mcmc.joint.mitochondrion - membranes	tagm.mcmc.joint.mitochondrion - soluble	tagm.mcmc.joint.nucleolus	tagm.mcmc.joint.nucleus - chromatin	tagm.mcmc.joint.nucleus - non-chromatin	tagm.mcmc.joint.PM - integral	tagm.mcmc.joint.PM - peripheral 1	tagm.mcmc.joint.PM - peripheral 2	tagm.mcmc.joint.rhoptries 1	tagm.mcmc.joint.rhoptries 2	tagm.mcmc.joint.tubulin cytoskeleton
TGME49_292020	GCC2 and GCC3 domain-containing protein	unknown	micronemes	1	1.00E+00	1	1.20E-09	7.80E-10	1.00E+00	micronemes	2.79E-45	1.27E-41	1.13E-38	6.84E-40	4.68E-27	2.40E-30	3.40E-20	1.13E-84	2.20E-17	1.31E-15	2.26E-26	1.22E-13	5.64E-18	3.10E-25	1.00E+00	1.54E-77	1.02E-70	1.19E-22	1.04E-65	1.68E-94	7.14E-13	7.08E-20	6.21E-11	4.42E-20	3.13E-17	2.39E-35
TGME49_306060	rhoptry neck protein RON8	rhoptries 1	rhoptries 1	1	1.00E+00	1	0.00E+00	0.00E+00	1.00E+00	rhoptries 1	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E+00	0.00E+00	0.00E+00
TGME49_253750	PLU-1 family protein	unknown	nucleus - chromatin	1	1.00E+00	1	2.68E-07	4.88E-08	1.00E+00	nucleus - chromatin	6.77E-25	5.17E-37	5.30E-22	1.49E-22	7.59E-24	2.63E-12	1.84E-56	1.11E-45	3.25E-13	8.57E-22	5.54E-44	2.64E-28	2.49E-41	3.51E-48	7.73E-48	2.49E-55	8.37E-30	1.41E-08	1.00E+00	6.35E-12	3.91E-26	1.43E-54	1.33E-12	3.92E-24	5.51E-37	1.97E-22
TGME49_264660	SAG-related sequence SRS44	unknown	dense granules	0.9999855	1.00E+00	0.9999989	1.68E-04	1.48E-05	1.00E+00	dense granules	7.01E-34	4.29E-30	1.20E-19	1.85E-21	9.61E-14	2.17E-12	1.98E-25	6.20E-79	1.00E+00	1.17E-13	1.08E-34	1.46E-11	1.97E-26	4.28E-32	2.63E-26	2.71E-50	7.91E-32	1.44E-05	8.88E-23	5.58E-45	7.78E-16	2.29E-32	5.39E-08	9.68E-10	1.87E-20	6.04E-18
TGME49_311720	chaperonin protein BiP	ER 2	ER 2	1	1.00E+00	1	0.00E+00	0.00E+00	1.00E+00	ER 2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TGME49_294800	elongation factor 1-alpha (EF-1-ALPHA), putative	unknown	nucleus - non-chromatin	0.9991007	9.95E-01	0.9999597	5.98E-03	1.76E-02	9.82E-01	unknown	2.92E-12	9.20E-31	5.93E-08	3.06E-09	1.67E-43	5.01E-17	2.29E-63	4.96E-13	1.86E-34	9.75E-19	1.56E-97	1.31E-33	4.76E-54	1.14E-58	8.03E-58	3.40E-110	2.46E-77	2.43E-07	8.99E-04	9.99E-01	8.68E-33	5.07E-58	2.11E-15	2.86E-46	3.32E-50	1.12E-22
TGME49_269885	rhoptry metalloprotease toxolysin TLN1	rhoptries 2	rhoptries 2	1	1.00E+00	1	0.00E+00	0.00E+00	1.00E+00	rhoptries 2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E+00	0.00E+00
TGME49_244560	heat shock protein 90, putative	ER 2	ER 2	1	1.00E+00	1	0.00E+00	0.00E+00	1.00E+00	ER 2	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
TGME49_266960	beta tubulin	tubulin cytoskeleton	tubulin cytoskeleton	1	1.00E+00	1	0.00E+00	0.00E+00	1.00E+00	tubulin cytoskeleton	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E+00
TGME49_298610	GYF domain-containing protein	unknown	nucleus - chromatin	1	1.00E+00	1	6.52E-08	3.74E-09	1.00E+00	nucleus - chromatin	4.01E-10	1.65E-32	2.08E-15	4.22E-22	6.34E-41	9.31E-21	8.45E-81	1.02E-24	2.29E-33	9.84E-21	6.97E-96	1.73E-35	8.25E-54	6.21E-59	1.47E-60	5.98E-89	5.67E-54	2.35E-09	1.00E+00	3.50E-10	6.15E-32	3.05E-60	1.71E-14	1.38E-42	1.27E-50	3.01E-23
