Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Input Ortholog(s)	Ortholog Group
TGGT1_200010	TGGT1_200010-t26_1	Toxoplasma gondii GT1	TGGT1_chrXII:2,184,571..2,186,156(-)	hypothetical protein	TGME49_200010,TGRH88_060010,TGVEG_245428	OG6_182182
TGGT1_200270	TGGT1_200270-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,742,441..6,743,496(+)	PAN/Apple domain-containing protein	TGME49_200270,TGRH88_083110,TGVEG_439620	OG6_134570
TGGT1_200280	TGGT1_200280-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,745,388..6,748,234(-)	WD domain, G-beta repeat-containing protein	TGME49_200280,TGRH88_083120,TGVEG_200280	OG6_491357
TGGT1_200290	TGGT1_200290-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,751,037..6,753,945(+)	rhomboid protease ROM1	TGME49_200290,TGRH88_083130,TGVEG_200290	OG6_100562
TGGT1_200295	TGGT1_200295-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,757,771..6,761,695(-)	hypothetical protein	TGRH88_083140	OG6_491962
TGGT1_200300	TGGT1_200300-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,762,422..6,764,853(-)	hypothetical protein	TGME49_500224,TGVEG_200300	OG6_132680
TGGT1_200310	TGGT1_200310-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,769,899..6,771,950(-)	hypothetical protein	TGME49_200310,TGRH88_083150,TGVEG_200310	OG6_160735
TGGT1_200320	TGGT1_200320-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,773,060..6,774,877(+)	hypoxanthine-xanthine-guanine phosphoribosyl transferase HXGPRT	TGME49_200320,TGRH88_083160,TGVEG_200320	OG6_101078
TGGT1_200330	TGGT1_200330-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,780,776..6,786,220(-)	hypothetical protein	TGME49_200330,TGRH88_083170,TGVEG_200330	OG6_134718
TGGT1_200340	TGGT1_200340-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,788,550..6,789,329(-)	hypothetical protein	TGME49_200340,TGRH88_083180,TGVEG_200340	OG6_104717
TGGT1_200350	TGGT1_200350-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,792,352..6,797,587(+)	subtilisin SUB3	TGME49_200350,TGRH88_083190,TGVEG_200350	OG6_156705
TGGT1_200360	TGGT1_200360-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,800,991..6,801,551(+)	hypothetical protein	TGME49_200360,TGRH88_083200,TGVEG_200360	OG6_489955
TGGT1_200370	TGGT1_200370-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,802,421..6,807,393(-)	prenyltransferase and squalene oxidase repeat-containing protein	TGME49_200370,TGRH88_083210,TGVEG_200370	OG6_101706
TGGT1_200385	TGGT1_200385-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,812,546..6,821,202(-)	Myb family DNA-binding domain-containing protein	TGME49_200385,TGRH88_083220,TGVEG_200385	OG6_119087
TGGT1_200400	TGGT1_200400-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,826,586..6,839,868(-)	hypothetical protein	TGME49_200400,TGRH88_083230,TGVEG_200400	OG6_101579
TGGT1_200410	TGGT1_200410-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,844,442..6,847,225(-)	hypothetical protein	TGME49_200410,TGRH88_083240,TGVEG_200410	OG6_489412
TGGT1_200430	TGGT1_200430-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,849,719..6,856,851(-)	cytidine and deoxycytidylate deaminase zinc-binding region domain-containing protein	TGME49_200430,TGRH88_083250,TGVEG_200430	OG6_102571
TGGT1_200440	TGGT1_200440-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,859,541..6,863,421(+)	hypothetical protein	TGME49_200440,TGRH88_083260,TGVEG_200440	OG6_491722
TGGT1_200450	TGGT1_200450-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,865,971..6,873,462(-)	hypothetical protein	TGME49_200450,TGRH88_083270,TGVEG_200450	OG6_491499
TGGT1_200460	TGGT1_200460-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,876,799..6,882,770(-)	hypothetical protein	TGME49_200460,TGRH88_083280,TGVEG_200460	OG6_158728
TGGT1_200470	TGGT1_200470-t26_1	Toxoplasma gondii GT1	TGGT1_chrVIII:6,885,827..6,889,645(+)	hypothetical protein	TGME49_200470,TGRH88_083290,TGVEG_200470	OG6_101441
