Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Input Ortholog(s)	Ortholog Group
TGME49_200010	TGME49_200010.R447	Toxoplasma gondii ME49	TGME49_chrXII:2,245,476..2,248,187(-)	dense granule protein GRA20	TGGT1_200010,TGRH88_060010,TGVEG_245428	OG6_182182
TGME49_200130	TGME49_200130-t26_1	Toxoplasma gondii ME49	TGME49_chrXII:7,033,492..7,035,777(+)	Toxoplasma gondii family C protein	TGRH88_066550,TGVEG_200130	OG6_118713
TGME49_200230	TGME49_200230-t26_1	Toxoplasma gondii ME49	TGME49_chrVIII:6,753,611..6,755,422(-)	microneme protein MIC17C	TGRH88_083070	OG6_134570
TGME49_200240	TGME49_200240-t26_1	Toxoplasma gondii ME49	TGME49_chrVIII:6,757,441..6,758,931(-)	microneme protein MIC17B	TGRH88_083340	OG6_134570
TGME49_200250	TGME49_200250-t26_1	Toxoplasma gondii ME49	TGME49_chrVIII:6,760,140..6,762,383(-)	microneme protein MIC17A	TGRH88_083320,TGRH88_083330,TGVEG_439620	OG6_134570
TGME49_200260	TGME49_200260-t26_1	Toxoplasma gondii ME49	TGME49_chrVIII:6,764,706..6,765,800(+)	hypothetical protein	TGRH88_083100	OG6_489454
TGME49_200270	TGME49_200270-t26_1	Toxoplasma gondii ME49	TGME49_chrVIII:6,766,719..6,768,513(+)	PAN/Apple domain-containing protein	TGGT1_200270,TGRH88_083110	OG6_134570
TGME49_200280	TGME49_200280-t26_1	Toxoplasma gondii ME49	TGME49_chrVIII:6,769,906..6,772,752(-)	WD domain, G-beta repeat-containing protein	TGGT1_200280,TGRH88_083120,TGVEG_200280	OG6_491357
TGME49_200290	TGME49_200290-t26_1	Toxoplasma gondii ME49	TGME49_chrVIII:6,774,898..6,778,962(+)	rhomboid protease ROM1	TGGT1_200290,TGRH88_083130,TGVEG_200290	OG6_100562
TGME49_200310	TGME49_200310.R448	Toxoplasma gondii ME49	TGME49_chrVIII:6,793,066..6,795,502(-)	hypothetical protein	TGGT1_200310,TGRH88_083150,TGVEG_200310	OG6_160735
TGME49_200320	TGME49_200320.R449	Toxoplasma gondii ME49	TGME49_chrVIII:6,795,849..6,798,931(+)	hypoxanthine-xanthine-guanine phosphoribosyl transferase HXGPRT	TGGT1_200320,TGRH88_083160,TGVEG_200320	OG6_101078
TGME49_200320	TGME49_200320.R450	Toxoplasma gondii ME49	TGME49_chrVIII:6,795,849..6,798,931(+)	hypoxanthine-xanthine-guanine phosphoribosyl transferase HXGPRT	TGGT1_200320,TGRH88_083160,TGVEG_200320	OG6_101078
TGME49_200320	TGME49_200320.R451	Toxoplasma gondii ME49	TGME49_chrVIII:6,795,849..6,798,931(+)	hypoxanthine-xanthine-guanine phosphoribosyl transferase HXGPRT	TGGT1_200320,TGRH88_083160,TGVEG_200320	OG6_101078
TGME49_200320	TGME49_200320.R452	Toxoplasma gondii ME49	TGME49_chrVIII:6,795,849..6,798,931(+)	hypoxanthine-xanthine-guanine phosphoribosyl transferase HXGPRT	TGGT1_200320,TGRH88_083160,TGVEG_200320	OG6_101078
TGME49_200330	TGME49_200330.R453	Toxoplasma gondii ME49	TGME49_chrVIII:6,803,584..6,810,351(-)	basal complex component BCC9	TGGT1_200330,TGRH88_083170,TGVEG_200330	OG6_134718
TGME49_200340	TGME49_200340.R454	Toxoplasma gondii ME49	TGME49_chrVIII:6,811,561..6,813,899(-)	hypothetical protein	TGGT1_200340,TGRH88_083180,TGVEG_200340	OG6_104717
TGME49_200350	TGME49_200350.R455	Toxoplasma gondii ME49	TGME49_chrVIII:6,813,964..6,821,727(+)	subtilisin SUB3	TGGT1_200350,TGRH88_083190,TGVEG_200350	OG6_156705
TGME49_200360	TGME49_200360-t26_1	Toxoplasma gondii ME49	TGME49_chrVIII:6,824,308..6,825,403(+)	hypothetical protein	TGGT1_200360,TGRH88_083200,TGVEG_200360	OG6_489955
TGME49_200370	TGME49_200370.R456	Toxoplasma gondii ME49	TGME49_chrVIII:6,825,484..6,831,459(-)	protein farnesyltransferase subunit beta, putative	TGGT1_200370,TGRH88_083210,TGVEG_200370	OG6_101706
TGME49_200385	TGME49_200385.R457	Toxoplasma gondii ME49	TGME49_chrVIII:6,832,904..6,847,548(-)	bradyzoite-formation deficient protein BFD1	TGGT1_200385,TGRH88_083220,TGVEG_200385	OG6_119087
