Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Input Ortholog(s)	Ortholog Group
TGRH88_000020	TGRH88_000020_t1	Toxoplasma gondii RH-88	CM023083:148,648..150,615(-)	Toxoplasma gondii family C protein	TGME49_500218	OG6_118713
TGRH88_000030	TGRH88_000030_t1	Toxoplasma gondii RH-88	CM023083:156,928..162,462(-)	threonine synthase	TGGT1_220840,TGME49_220840,TGVEG_220840	OG6_102837
TGRH88_000040	TGRH88_000040_t1	Toxoplasma gondii RH-88	CM023083:164,502..168,378(+)	DEAD/DEAH box helicase	TGGT1_220860,TGME49_220860,TGVEG_220860	OG6_101341
TGRH88_000050	TGRH88_000050_t1	Toxoplasma gondii RH-88	CM023083:170,960..173,901(-)	unspecified product	TGGT1_220870,TGME49_220870,TGVEG_220870	OG6_223058
TGRH88_000060	TGRH88_000060_t1	Toxoplasma gondii RH-88	CM023083:175,124..177,400(+)	unspecified product	TGGT1_220880,TGME49_220880,TGVEG_220880	OG6_132923
TGRH88_000070	TGRH88_000070_t1	Toxoplasma gondii RH-88	CM023083:178,264..180,974(-)	unspecified product	TGGT1_220890,TGME49_220890,TGVEG_220890	OG6_150271
TGRH88_000080	TGRH88_000080_t1	Toxoplasma gondii RH-88	CM023083:182,601..184,721(+)	unspecified product	TGGT1_220900,TGME49_220900,TGVEG_220900	OG6_490366
TGRH88_000090	TGRH88_000090_t1	Toxoplasma gondii RH-88	CM023083:186,889..200,153(-)	HEAT repeat-containing protein	TGGT1_220910,TGME49_220910,TGVEG_220910	OG6_490902
TGRH88_000100	TGRH88_000100_t1	Toxoplasma gondii RH-88	CM023083:202,389..207,434(+)	unspecified product	TGGT1_220920,TGME49_220920,TGVEG_220920	OG6_490238
TGRH88_000110	TGRH88_000110_t1	Toxoplasma gondii RH-88	CM023083:208,847..214,145(-)	unspecified product	TGGT1_220930,TGME49_220930,TGVEG_220930	OG6_143934
TGRH88_000120	TGRH88_000120_t1	Toxoplasma gondii RH-88	CM023083:219,931..224,276(+)	ribosomal RNA methyltransferase (FtsJ) family protein	TGGT1_220940,TGME49_220940,TGVEG_220940	OG6_103441
TGRH88_000130	TGRH88_000130_t1	Toxoplasma gondii RH-88	CM023083:226,510..228,426(+)	putative transmembrane protein	TGGT1_410360,TGME49_220950	OG6_147750
TGRH88_000140	TGRH88_000140_t1	Toxoplasma gondii RH-88	CM023083:230,880..232,731(+)	putative transmembrane protein	TGGT1_220950,TGME49_220950	OG6_147750
TGRH88_000150	TGRH88_000150_t1	Toxoplasma gondii RH-88	CM023083:234,495..236,378(+)	putative transmembrane protein	TGGT1_220950,TGME49_220950	OG6_147750
TGRH88_000160	TGRH88_000160_t1	Toxoplasma gondii RH-88	CM023083:238,832..240,683(+)	unspecified product	TGME49_279100,TGVEG_279100B	OG6_147750
TGRH88_000170	TGRH88_000170_t1	Toxoplasma gondii RH-88	CM023083:242,447..244,378(+)	unspecified product	TGME49_279100,TGVEG_279100B	OG6_147750
TGRH88_000190	TGRH88_000190_t1	Toxoplasma gondii RH-88	CM023083:250,445..252,249(+)	putative transmembrane protein	TGVEG_441370	OG6_147750
TGRH88_000200	TGRH88_000200_t1	Toxoplasma gondii RH-88	CM023083:253,742..255,984(-)	acetyltransferase, GNAT family protein	TGGT1_221160,TGME49_221160,TGVEG_221160	OG6_105352
TGRH88_000210	TGRH88_000210_t1	Toxoplasma gondii RH-88	CM023083:258,448..262,332(+)	CAAX metallo endopeptidase	TGGT1_221170,TGME49_221170,TGVEG_221170A,TGVEG_221170B	OG6_101632
TGRH88_000220	TGRH88_000220_t1	Toxoplasma gondii RH-88	CM023083:264,714..269,964(-)	unspecified product	TGGT1_221180,TGME49_221180,TGVEG_221180	OG6_490446
TGRH88_000230	TGRH88_000230_t1	Toxoplasma gondii RH-88	CM023083:271,596..273,340(+)	putative mrna cleavage factor family protein	TGGT1_221190,TGME49_221190,TGVEG_221190	OG6_102904
TGRH88_000250	TGRH88_000250_t1	Toxoplasma gondii RH-88	CM023083:291,203..293,074(+)	cyclophilin	TGGT1_221210,TGME49_221210,TGVEG_221210	OG6_215925
TGRH88_000260	TGRH88_000260_t1	Toxoplasma gondii RH-88	CM023083:294,585..315,011(+)	unspecified product	TGGT1_221220,TGME49_221220,TGVEG_221220	OG6_104742
TGRH88_000270	TGRH88_000270_t1	Toxoplasma gondii RH-88	CM023083:316,895..322,381(-)	unspecified product	TGGT1_221230,TGME49_221230,TGVEG_221230	OG6_119689
TGRH88_000280	TGRH88_000280_t1	Toxoplasma gondii RH-88	CM023083:326,287..326,598(+)	unspecified product	TGGT1_221240,TGME49_221240,TGVEG_221240	OG6_490873
TGRH88_000290	TGRH88_000290_t1	Toxoplasma gondii RH-88	CM023083:329,410..335,210(+)	unspecified product	TGGT1_221250,TGME49_221250,TGVEG_221250	OG6_120652
TGRH88_000300	TGRH88_000300_t1	Toxoplasma gondii RH-88	CM023083:338,082..346,325(+)	Class-II DAHP synthetase family protein	TGGT1_221260,TGME49_221260,TGVEG_221260	OG6_104317
TGRH88_000310	TGRH88_000310_t1	Toxoplasma gondii RH-88	CM023083:347,462..350,097(-)	unspecified product	TGGT1_221265,TGME49_221265,TGVEG_221265	OG6_223057
TGRH88_000320	TGRH88_000320_t1	Toxoplasma gondii RH-88	CM023083:351,744..353,815(-)	oxidoreductase, 2OG-Fe(II) oxygenase family protein	TGGT1_221270,TGME49_221270,TGVEG_221270	OG6_114143
TGRH88_000330	TGRH88_000330_t1	Toxoplasma gondii RH-88	CM023083:358,906..375,493(+)	unspecified product	TGGT1_221280,TGME49_221280,TGVEG_221280	OG6_492006
TGRH88_000340	TGRH88_000340_t1	Toxoplasma gondii RH-88	CM023083:378,630..380,147(+)	unspecified product	TGGT1_221295,TGME49_221295,TGVEG_221295	OG6_491256
TGRH88_000350	TGRH88_000350_t1	Toxoplasma gondii RH-88	CM023083:381,338..388,837(-)	aminopeptidase N protein	TGGT1_221310,TGME49_221310,TGVEG_221310	OG6_106799
TGRH88_000360	TGRH88_000360_t1	Toxoplasma gondii RH-88	CM023083:391,276..407,309(-)	acetyl-CoA carboxylase ACC1	TGGT1_221320,TGME49_221320,TGVEG_221320	OG6_101052
TGRH88_000370	TGRH88_000370_t1	Toxoplasma gondii RH-88	CM023083:410,324..423,781(-)	DNA gyrase/topoisomerase IV, A subunit domain-containing protein	TGGT1_221330,TGME49_221330,TGVEG_221330	OG6_105177
TGRH88_000380	TGRH88_000380_t1	Toxoplasma gondii RH-88	CM023083:427,973..430,122(+)	unspecified product	TGGT1_221340,TGME49_221340,TGVEG_221340	OG6_163320
