Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	T.gondii GT1 CRISPR Phenotype - Mean Phenotype	T.gondii GT1 CRISPR Phenotype - Liver Composite Score	T.gondii GT1 CRISPR Phenotype - Lung Composite Score	T.gondii GT1 CRISPR Phenotype - Peritoneum Composite Score	T.gondii GT1 CRISPR Phenotype - Spleen Comosite Score
TGGT1_200010	TGGT1_200010-t26_1	Toxoplasma gondii GT1	"TGGT1_chrXII:2,184,571..2,186,156(-)"	hypothetical protein	2.54	-0.09838959	0.010754072	0.393190487	-0.00226962
TGGT1_200270	TGGT1_200270-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIII:6,742,441..6,743,496(+)"	PAN/Apple domain-containing protein	0.93	-0.190740487	0.065022862	-0.028111414	-2.64867434
TGGT1_200280	TGGT1_200280-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIII:6,745,388..6,748,234(-)"	"WD domain, G-beta repeat-containing protein"	-1.28	3.811851339	2.769947541	0.006567347	3.240721658
TGGT1_200290	TGGT1_200290-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIII:6,751,037..6,753,945(+)"	rhomboid protease ROM1	0.75	-13.61882281	-13.61245999	-40.51674913	-28.61523132
TGGT1_200295	TGGT1_200295-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIII:6,757,771..6,761,695(-)"	hypothetical protein	1.35	0.730587398	0.00662104	0.304398409	0.010537909
TGGT1_200300	TGGT1_200300-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIII:6,762,422..6,764,853(-)"	hypothetical protein	2.25	0.733820814	0.609094948	0.286920135	0.805440751
TGGT1_200310	TGGT1_200310-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIII:6,769,899..6,771,950(-)"	hypothetical protein	-0.05	-0.018923399	-1.592654135	0.083408574	-0.251103784
TGGT1_200330	TGGT1_200330-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIII:6,780,776..6,786,220(-)"	hypothetical protein	0.26	-8.99290466	-2.330478975	-3.760823226	-6.73777542
TGGT1_200340	TGGT1_200340-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIII:6,788,550..6,789,329(-)"	hypothetical protein	1.89	-0.03632388	-1.055061472	0.174785768	-0.084238002
TGGT1_200350	TGGT1_200350-t26_1	Toxoplasma gondii GT1	"TGGT1_chrVIII:6,792,352..6,797,587(+)"	subtilisin SUB3	2.18	0.179861908	0.265849421	0.495556664	0.740884129
