Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Input Ortholog(s)	Ortholog Group
TGVEG_200130	TGVEG_200130-t26_1	Toxoplasma gondii VEG	TGVEG_chrXII:7,080,698..7,082,642(+)	Toxoplasma gondii family C protein	TGME49_200130,TGRH88_066550	OG6_118713
TGVEG_200280	TGVEG_200280-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,796,851..6,799,697(-)	WD domain, G-beta repeat-containing protein	TGGT1_200280,TGME49_200280,TGRH88_083120	OG6_491357
TGVEG_200290	TGVEG_200290-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,802,498..6,805,406(+)	rhomboid protease ROM1	TGGT1_200290,TGME49_200290,TGRH88_083130	OG6_100562
TGVEG_200300	TGVEG_200300-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,807,765..6,815,480(-)	putative 3'5'-cyclic nucleotide phosphodiesterase family, related protein	TGGT1_200300,TGME49_500224	OG6_132680
TGVEG_200310	TGVEG_200310-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,820,531..6,822,582(-)	putative transmembrane protein	TGGT1_200310,TGME49_200310,TGRH88_083150	OG6_160735
TGVEG_200320	TGVEG_200320-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,823,692..6,825,509(+)	hypoxanthine-xanthine-guanine phosphoribosyl transferase HXGPRT	TGGT1_200320,TGME49_200320,TGRH88_083160	OG6_101078
TGVEG_200330	TGVEG_200330-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,831,432..6,836,876(-)	hypothetical protein	TGGT1_200330,TGME49_200330,TGRH88_083170	OG6_134718
TGVEG_200340	TGVEG_200340-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,839,206..6,839,985(-)	hypothetical protein	TGGT1_200340,TGME49_200340,TGRH88_083180	OG6_104717
TGVEG_200350	TGVEG_200350-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,843,008..6,848,243(+)	subtilisin SUB3	TGGT1_200350,TGME49_200350,TGRH88_083190	OG6_156705
TGVEG_200360	TGVEG_200360-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,851,648..6,852,208(+)	hypothetical protein	TGGT1_200360,TGME49_200360,TGRH88_083200	OG6_489955
TGVEG_200370	TGVEG_200370-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,853,079..6,858,051(-)	prenyltransferase and squalene oxidase repeat-containing protein	TGGT1_200370,TGME49_200370,TGRH88_083210	OG6_101706
TGVEG_200385	TGVEG_200385-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,863,205..6,871,861(-)	Myb family DNA-binding domain-containing protein	TGGT1_200385,TGME49_200385,TGRH88_083220	OG6_119087
TGVEG_200400	TGVEG_200400-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,877,246..6,890,531(-)	hypothetical protein	TGGT1_200400,TGME49_200400,TGRH88_083230	OG6_101579
TGVEG_200410	TGVEG_200410-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,895,105..6,897,888(-)	hypothetical protein	TGGT1_200410,TGME49_200410,TGRH88_083240	OG6_489412
TGVEG_200430	TGVEG_200430-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,900,382..6,907,510(-)	cytidine and deoxycytidylate deaminase zinc-binding region domain-containing protein	TGGT1_200430,TGME49_200430,TGRH88_083250	OG6_102571
TGVEG_200440	TGVEG_200440-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,910,200..6,914,074(+)	putative transmembrane protein	TGGT1_200440,TGME49_200440,TGRH88_083260	OG6_491722
TGVEG_200450	TGVEG_200450-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,916,627..6,924,088(-)	hypothetical protein	TGGT1_200450,TGME49_200450,TGRH88_083270	OG6_491499
TGVEG_200460	TGVEG_200460-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,927,425..6,933,396(-)	hypothetical protein	TGGT1_200460,TGME49_200460,TGRH88_083280	OG6_158728
TGVEG_200470	TGVEG_200470-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,936,453..6,940,269(+)	hypothetical protein	TGGT1_200470,TGME49_200470,TGRH88_083290	OG6_101441
TGVEG_200480	TGVEG_200480-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIII:6,943,881..6,944,719(+)	Toxoplasma gondii family B protein	TGGT1_200480,TGME49_200480,TGRH88_083300	OG6_115507
TGVEG_200595	TGVEG_200595-t26_1	Toxoplasma gondii VEG	TGVEG_chrX:4,123..6,792(-)	hypothetical protein	TGGT1_200595,TGME49_200595,TGRH88_048010	OG6_490846
TGVEG_201110	TGVEG_201110-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,130,893..4,132,810(-)	putative transmembrane protein	TGGT1_201110,TGME49_201110,TGRH88_037540	OG6_151672
TGVEG_201120	TGVEG_201120-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,120,561..4,128,679(+)	ELMO/CED-12 family protein	TGGT1_201120,TGME49_201120,TGRH88_037530	OG6_102238
TGVEG_201130	TGVEG_201130-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,112,717..4,116,143(+)	rhoptry kinase family protein ROP33	TGGT1_201130,TGME49_201130,TGRH88_037520	OG6_490228
TGVEG_201140	TGVEG_201140-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,099,669..4,107,231(+)	hypothetical protein	TGGT1_201140,TGME49_201140,TGRH88_037510	OG6_490170
TGVEG_201150	TGVEG_201150-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,085,412..4,095,854(+)	heavy metal translocating P-type ATPase subfamily protein	TGGT1_201150,TGME49_201150,TGRH88_037500	OG6_100289
TGVEG_201160	TGVEG_201160-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,084,185..4,084,754(-)	hypothetical protein	TGGT1_201160,TGME49_201160,TGRH88_037490	OG6_489387
TGVEG_201170	TGVEG_201170-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,082,223..4,083,754(-)	hypothetical protein	TGGT1_201170,TGME49_201170,TGRH88_037480	OG6_489941
TGVEG_201180A	TGVEG_201180A-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,077,307..4,079,405(-)	putative transmembrane protein	TGGT1_201180A,TGME49_201180,TGRH88_037470	OG6_491224
TGVEG_201180B	TGVEG_201180B-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,074,479..4,075,084(-)	hypothetical protein	TGGT1_201180B,TGME49_201180	OG6_491224
TGVEG_201190	TGVEG_201190-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,070,608..4,070,967(+)	hypothetical protein	TGGT1_201190,TGRH88_037460	OG6_492033
TGVEG_201200	TGVEG_201200-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,066,714..4,070,114(+)	zinc finger (CCCH type) motif-containing protein	TGGT1_201200,TGME49_201200,TGRH88_037450	OG6_119550
TGVEG_201210	TGVEG_201210-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,062,863..4,065,717(-)	hypothetical protein	TGGT1_201210,TGME49_201210,TGRH88_037440	OG6_491841
TGVEG_201220	TGVEG_201220-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,050,535..4,059,127(-)	zinc finger protein	TGGT1_201220,TGME49_201220,TGRH88_037430	OG6_105580
TGVEG_201230	TGVEG_201230-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,041,685..4,048,937(+)	kinesin motor domain-containing protein	TGGT1_201230,TGME49_201230,TGRH88_037420	OG6_491046
TGVEG_201240	TGVEG_201240-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,037,407..4,039,450(-)	proteophosphoglycan 5, related protein	TGGT1_201240,TGME49_201240,TGRH88_037410	OG6_490659
TGVEG_201250	TGVEG_201250-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,028,130..4,035,203(+)	putative histone lysine methyltransferase, SET	TGGT1_201250,TGME49_201250,TGRH88_037400	OG6_489315
TGVEG_201260	TGVEG_201260-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,017,872..4,023,554(-)	sugar transporter ST3	TGGT1_201260,TGME49_201260,TGRH88_037390	OG6_186227
TGVEG_201270	TGVEG_201270-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,008,144..4,013,921(-)	hypothetical protein	TGGT1_201270,TGME49_201270,TGRH88_037380	OG6_491425
TGVEG_201380	TGVEG_201380-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:4,001,291..4,006,270(+)	putative chorismate synthase	TGGT1_201380,TGME49_201380,TGRH88_037370	OG6_102633
TGVEG_201390	TGVEG_201390-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,999,935..4,000,261(-)	putative transmembrane protein	TGGT1_201390,TGME49_201390,TGRH88_037360	OG6_489809
TGVEG_201400	TGVEG_201400-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,990,670..3,996,310(-)	Sin3-associated polypeptide SAP18	TGGT1_201400,TGME49_201400,TGRH88_037350	OG6_103126
TGVEG_201520	TGVEG_201520-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,985,467..3,987,248(+)	protein phosphatase 2C domain-containing protein	TGGT1_201520,TGME49_201520,TGRH88_037340	OG6_126697
TGVEG_201630A	TGVEG_201630A-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,973,471..3,975,388(+)	protein phosphatase 2C domain-containing protein	TGGT1_201630A,TGME49_201630,TGRH88_037330	OG6_126697
TGVEG_201630B	TGVEG_201630B-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,977,666..3,979,389(+)	protein phosphatase 2C domain-containing protein	TGGT1_201630B,TGME49_201630,TGRH88_037330	OG6_126697
TGVEG_201640	TGVEG_201640-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,967,256..3,971,023(-)	hypothetical protein	TGGT1_201640,TGRH88_037320	OG6_491723
TGVEG_201650	TGVEG_201650-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,962,599..3,967,162(-)	hypothetical protein	TGGT1_201650,TGME49_500260,TGRH88_037310	OG6_491077
TGVEG_201660	TGVEG_201660-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,956,666..3,958,432(-)	hypothetical protein	TGGT1_201660,TGME49_201660,TGRH88_037300	OG6_490047
TGVEG_201670	TGVEG_201670-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,952,309..3,955,125(+)	DnaJ domain-containing protein	TGGT1_201670,TGME49_201670	OG6_490899
TGVEG_201680	TGVEG_201680-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,941,437..3,949,778(+)	putative eukaryotic initiation factor-3 subunit 10	TGGT1_201680,TGME49_201680,TGRH88_037280	OG6_102668
TGVEG_201690	TGVEG_201690-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,934,136..3,936,640(-)	BT1 family protein	TGGT1_201690,TGME49_201690,TGRH88_037270	OG6_490163
TGVEG_201700	TGVEG_201700-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,928,099..3,931,512(-)	WD domain, G-beta repeat-containing protein	TGGT1_201700,TGME49_201700,TGRH88_037260	OG6_101941
TGVEG_201710	TGVEG_201710-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,921,777..3,925,808(+)	WD domain, G-beta repeat-containing protein	TGGT1_201710,TGME49_201710,TGRH88_037250	OG6_102033
TGVEG_201720	TGVEG_201720-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,917,505..3,920,418(-)	putative protein c9orf32	TGGT1_201720,TGME49_201720,TGRH88_037240	OG6_102160
TGVEG_201730	TGVEG_201730-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,915,293..3,915,913(+)	hypothetical protein	TGGT1_201730,TGME49_201730,TGRH88_037230	OG6_490615
TGVEG_201740	TGVEG_201740-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,913,603..3,914,925(+)	hypothetical protein	TGGT1_201740,TGME49_201740,TGRH88_037220	OG6_222912
TGVEG_201750	TGVEG_201750-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,909,916..3,910,287(+)	Tctex-1 family protein	TGGT1_201750,TGME49_201750,TGRH88_037210	OG6_101459
TGVEG_201760	TGVEG_201760-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,903,969..3,906,523(+)	hypothetical protein	TGGT1_201760,TGME49_201760,TGRH88_037200	OG6_222911
TGVEG_201770	TGVEG_201770-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,890,390..3,901,299(+)	putative cullin 3	TGGT1_201770,TGME49_201770,TGRH88_037190	OG6_102066
TGVEG_201775	TGVEG_201775-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,885,815..3,886,492(+)	hypothetical protein	TGGT1_201775,TGME49_201775,TGRH88_037180	OG6_492363
TGVEG_201780	TGVEG_201780-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,881,171..3,884,435(-)	microneme protein MIC2	TGGT1_201780,TGME49_201780,TGRH88_037170	OG6_106501
TGVEG_201785	TGVEG_201785-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,879,052..3,880,063(-)	hypothetical protein	TGGT1_201785,TGME49_201785,TGRH88_037160	OG6_490927
TGVEG_201790	TGVEG_201790-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,870,928..3,876,260(-)	FHA domain-containing protein	TGGT1_201790,TGME49_201790,TGRH88_037150	OG6_102703
TGVEG_201800	TGVEG_201800-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,866,752..3,868,822(+)	putative RNA-binding protein	TGGT1_201800,TGME49_201800,TGRH88_037140	OG6_139438
TGVEG_201810	TGVEG_201810-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,864,279..3,865,361(-)	hypothetical protein	TGGT1_201810,TGME49_201810,TGRH88_037130	OG6_491316
TGVEG_201820	TGVEG_201820-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,850,811..3,860,016(+)	hypothetical protein	TGGT1_201820,TGME49_201820,TGRH88_037120	OG6_146129
TGVEG_201830	TGVEG_201830-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,843,860..3,846,187(+)	ribosomal protein L37	TGGT1_201830,TGME49_201830,TGRH88_037110	OG6_145389
TGVEG_201840	TGVEG_201840-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,835,827..3,841,959(+)	aspartyl protease ASP1	TGGT1_201840,TGME49_201840,TGRH88_037100	OG6_100536
TGVEG_201850	TGVEG_201850-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,831,619..3,832,980(-)	WD domain, G-beta repeat-containing protein	TGGT1_201850,TGME49_201850,TGRH88_037090	OG6_102912
TGVEG_201860	TGVEG_201860-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,828,837..3,829,973(-)	putative transmembrane protein	TGGT1_201860,TGME49_201860,TGRH88_037080	OG6_179540
TGVEG_201870	TGVEG_201870-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,819,820..3,828,017(+)	tetratricopeptide repeat-containing protein	TGGT1_201870,TGME49_201870,TGRH88_037070	OG6_142847
TGVEG_201880	TGVEG_201880-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,816,120..3,817,512(+)	ubiquinol-cytochrome C family reductase UQCRX/QCR9-like protein	TGGT1_201880,TGME49_201880,TGRH88_037060	OG6_139435
TGVEG_201890	TGVEG_201890-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,812,174..3,813,529(+)	MORN repeat-containing protein	TGGT1_201890,TGME49_500373,TGRH88_037050	OG6_132287
TGVEG_201895	TGVEG_201895-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,810,861..3,811,475(+)	hypothetical protein	TGGT1_201895,TGRH88_037040	OG6_489658
TGVEG_201900	TGVEG_201900-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,801,069..3,807,143(-)	hypothetical protein	TGGT1_201900,TGME49_201900,TGRH88_037030	OG6_171409
TGVEG_202010	TGVEG_202010-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,796,511..3,799,520(+)	hypothetical protein	TGGT1_202010,TGME49_202010,TGRH88_037020	OG6_490699
TGVEG_202020	TGVEG_202020-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,787,608..3,793,871(+)	DnAK-TPR	TGGT1_202020,TGME49_202020,TGRH88_037010	OG6_223014
TGVEG_202025	TGVEG_202025-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,776,201..3,781,399(-)	hypothetical protein	TGGT1_202025,TGRH88_037000	OG6_489533
TGVEG_202030	TGVEG_202030-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,766,751..3,775,170(-)	poly(ADP-ribose) polymerase catalytic domain protein	TGGT1_202030,TGME49_500254,TGRH88_036990	OG6_491966
TGVEG_202040	TGVEG_202040-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,756,875..3,763,889(+)	hypothetical protein	TGGT1_202040,TGME49_202040,TGRH88_036980	OG6_134647
TGVEG_202050	TGVEG_202050-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,753,909..3,754,824(-)	putative transmembrane protein	TGGT1_202050,TGME49_202050,TGRH88_036970	OG6_489310
TGVEG_202065	TGVEG_202065-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,752,305..3,752,923(+)	hypothetical protein	TGGT1_202065,TGME49_202065,TGRH88_036960	OG6_491883
TGVEG_202070	TGVEG_202070-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,717,929..3,750,270(-)	hypothetical protein	TGME49_202070	OG6_492004
TGVEG_202080	TGVEG_202080-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,707,292..3,716,680(+)	hypothetical protein	TGGT1_202080,TGME49_202080,TGRH88_036940	OG6_491401
TGVEG_202090	TGVEG_202090-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,703,281..3,703,877(-)	hypothetical protein	TGGT1_202090,TGME49_202090,TGRH88_036930	OG6_491636
TGVEG_202100	TGVEG_202100-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,701,110..3,702,398(-)	hypothetical protein	TGGT1_202100,TGME49_202100,TGRH88_036920	OG6_492283
TGVEG_202110	TGVEG_202110-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,697,848..3,698,714(-)	hypothetical protein	TGGT1_202110,TGME49_202110,TGRH88_036910	OG6_489648
TGVEG_202120	TGVEG_202120-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,670,961..3,694,859(-)	hypothetical protein	TGGT1_202120,TGME49_202120,TGRH88_036900	OG6_130917
TGVEG_202140	TGVEG_202140-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,665,664..3,668,070(-)	enoyl-CoA hydratase/isomerase family protein	TGGT1_202140,TGME49_202140,TGRH88_036890	OG6_171928
TGVEG_202160	TGVEG_202160-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,654,673..3,664,052(+)	ABC1 family protein	TGGT1_202160,TGME49_202160,TGRH88_036880	OG6_173494
TGVEG_202170	TGVEG_202170-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,646,064..3,654,294(-)	putative transmembrane protein	TGGT1_202170,TGME49_202170,TGRH88_036870	OG6_489543
TGVEG_202180	TGVEG_202180-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,635,124..3,644,637(+)	hypothetical protein	TGGT1_202180,TGGT1_409260,TGME49_202180,TGRH88_036860	OG6_151540
TGVEG_202190	TGVEG_202190-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,623,214..3,631,124(-)	Tub family protein	TGGT1_202190,TGME49_202190,TGRH88_036850	OG6_206222
TGVEG_202200	TGVEG_202200-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,609,949..3,614,078(-)	hypothetical protein	TGGT1_202200,TGME49_202200,TGRH88_036840	OG6_489357
TGVEG_202205	TGVEG_202205-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,608,257..3,609,007(-)	hypothetical protein	TGGT1_202205,TGME49_202205,TGRH88_036830	OG6_491346
TGVEG_202210	TGVEG_202210-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,605,332..3,607,481(-)	nucleoside diphosphate kinase	TGGT1_202210,TGME49_202210,TGRH88_036820	OG6_104217
TGVEG_202220	TGVEG_202220-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,597,114..3,600,560(-)	hypothetical protein	TGGT1_202220,TGME49_202220,TGRH88_036810	OG6_490471
TGVEG_202230	TGVEG_202230-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,586,069..3,595,268(+)	histone deacetylase HDAC5	TGGT1_202230,TGME49_202230,TGRH88_036800	OG6_114105
TGVEG_202240	TGVEG_202240-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,575,932..3,583,401(-)	RAP domain-containing protein	TGGT1_202240,TGME49_202240,TGRH88_036790	OG6_489352
TGVEG_202250	TGVEG_202250-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,567,376..3,574,123(+)	putative transmembrane protein	TGGT1_202250,TGME49_202250,TGRH88_036780	OG6_491280
TGVEG_202255	TGVEG_202255-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,562,944..3,565,804(-)	hypothetical protein	TGGT1_202255,TGME49_202255,TGRH88_036770	OG6_489593
TGVEG_202260	TGVEG_202260-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,554,698..3,556,968(-)	putative WD repeat protein 90	TGGT1_202260,TGRH88_036760	OG6_177152
TGVEG_202280	TGVEG_202280-t26_1	Toxoplasma gondii VEG	TGVEG_chrVIIa:3,534,859..3,551,124(-)	WD domain, G-beta repeat-containing protein	TGGT1_202280,TGME49_500185,TGRH88_036750	OG6_106699
